"N","sV","Data.Seed","SS.Seed","Eff_Est_IPS","Eff_Est_CPS_G","SE_Est_IPS","SE_Est_CPS_G","Cover_Est_IPS","Cover_Est_CPS_G"
25,1.5,1,1,35.3144034480016,4.08356086792924,22.7680498843144,0.0794793290988043,1,1
25,1.5,1,2,7.20864075448192,4.07606393743398,9.5095064211337,0.0840429907186098,1,1
25,1.5,1,3,2.86631063285513,4.1364283469013,1.24795528889617,0.0582515661785416,1,0
25,1.5,1,4,4.94978417689547,4.13539283508308,1.99049892627573,0.0843151746812683,1,1
25,1.5,1,5,-5863.02260690615,4.05334048938779,5620.60601090728,0.0725628580651931,1,1
25,1.5,1,6,3.29918070570807,4.0541789188524,1.84314732859995,0.0688105414714762,1,1
25,1.5,2,1,4.82049635091691,4.00519722065849,0.863661077516439,0.0551190461468664,1,1
25,1.5,2,2,10.1942183663907,3.96728672431148,8.85844524264682,0.075202330296528,1,1
25,1.5,2,3,5.43287063735044,3.93415111769826,1.28253820886803,0.0693292700852804,1,1
25,1.5,2,4,3.37754782897827,3.97866354928168,1.11074785937162,0.0560617226590337,1,1
25,1.5,2,5,-26.7421755902818,3.90895758343717,17.8455993807865,0.0664755412771697,1,1
25,1.5,2,6,7.73988836345946,4.0009513124443,3.92745723290169,0.0570340185027642,1,1
25,1.5,3,1,7.09424243537501,4.00768970276073,1.69589982697971,0.0592283726193374,1,1
25,1.5,3,2,5.53004003367159,4.08185319283774,2.20607417841505,0.100157466413423,1,1
25,1.5,3,3,10.0742781363292,4.00182711189869,2.81717188506412,0.0558361706411205,0,1
25,1.5,3,4,6.36685014437532,4.04381001889287,1.68094069139627,0.0850304505344731,1,1
25,1.5,3,5,-2.16654886974705,3.98031606532066,4.40945958686763,0.0781453662277483,1,1
25,1.5,3,6,4.61554624719567,4.02221456468041,1.01139295119582,0.0616413998586672,1,1
25,1.5,4,1,4.58365108190141,3.89177559784161,0.950532924379576,0.0733377922844063,1,1
25,1.5,4,2,6.21193221920975,3.8642537256144,2.20169406404759,0.106230525418637,1,1
25,1.5,4,3,6.05248362870757,4.0171437805883,1.43236550895668,0.0687169254551556,1,1
25,1.5,4,4,-0.518332833818411,3.99825332550015,3.60165142717662,0.0613911321323855,1,1
25,1.5,4,5,5.27467547071427,3.96240916689962,1.24745361199781,0.0627427321086458,1,1
25,1.5,4,6,123.060831230086,3.93873440149619,87.9510328460189,0.0747246540919541,1,1
25,1.5,5,1,5.3324526962722,4.03573295193471,1.48282662162564,0.0552883203057095,1,1
25,1.5,5,2,4.83746540575845,4.07457191759271,0.879931228974967,0.0553142428064288,1,1
25,1.5,5,3,3.45592822754443,4.0222488356556,1.11763026654924,0.0638219704354689,1,1
25,1.5,5,4,3.53521309783039,4.03292543132193,0.792643695252499,0.0641833279005243,1,1
25,1.5,5,5,5.3249853401961,4.02982725872151,1.56832431619784,0.0586843581624812,1,1
25,1.5,5,6,-1.4965337067087,4.04060928887751,5.02265611318172,0.0595599551768128,1,1
25,1.5,6,1,2.83660754666046,4.09572086688922,0.838311492210659,0.0773775745305282,1,1
25,1.5,6,2,3.72611880484189,4.01209437213044,1.65207371175173,0.0497831292120744,1,1
25,1.5,6,3,-5.78156548931887,4.06602338760092,7.45855081458634,0.0797728592664626,1,1
25,1.5,6,4,-0.23358974157283,4.06887270506702,3.64873135560805,0.0672653413268247,1,1
25,1.5,6,5,3.10504718769152,4.03527198499481,1.78304376197276,0.0543784651172257,1,1
25,1.5,6,6,1.40210200426794,4.09805454469817,2.52733875256687,0.0731445983543113,1,1
25,1.5,7,1,-26.3587062508853,4.02661705240585,16.8723644163216,0.0610597918136393,1,1
25,1.5,7,2,1.42022607450206,4.06064662849393,1.68390902157778,0.0591738026330029,1,1
25,1.5,7,3,3.98840237037753,4.05220917826946,0.332443405387705,0.0614098110390048,1,1
25,1.5,7,4,3.96224537842698,4.08447383646044,0.443534049406882,0.0629981221433701,1,1
25,1.5,7,5,4.2188671593828,4.05974575943656,0.413703746666022,0.0703928541926218,1,1
25,1.5,7,6,4.05360285629969,4.06244442689352,0.451879508215676,0.0581608075571008,1,1
25,1.5,8,1,3.78216565707692,3.88562330974815,1.4310371657153,0.0677705773569976,1,1
25,1.5,8,2,-0.479030168097917,3.90640867036447,2.23026930782403,0.0585774002141728,0,1
25,1.5,8,3,9.83489124786759,3.85573342500034,5.70116561887481,0.0802474360837155,1,1
25,1.5,8,4,-0.487105396865122,3.85414166576302,5.16685639755734,0.0671120470959212,1,0
25,1.5,8,5,4.36275131462797,3.91787069648913,1.30188840185572,0.0607157133236582,1,1
25,1.5,8,6,3.75846606612488,3.89024523244412,4.56134167934903,0.0634297412685239,1,1
25,1.5,9,1,4.89106038669058,4.0229363968063,2.49399728250681,0.0495513499873011,1,1
25,1.5,9,2,3.979024010419,4.01113384183647,0.982804683549445,0.0546688797747091,1,1
25,1.5,9,3,2.73219090446343,4.012540814406,1.41199029941188,0.0505298418678957,1,1
25,1.5,9,4,2.61303296792007,3.98434188427642,1.59707209555553,0.0530079626550968,1,1
25,1.5,9,5,4.10931371886916,3.98781510433303,0.970940997315385,0.0480749577624965,1,1
25,1.5,9,6,1.59777011702817,4.00664401214422,1.77769261007946,0.0549333077944358,1,1
25,1.5,10,1,3.1949778254808,4.16005420272701,1.31646940203959,0.0675402002249954,1,0
25,1.5,10,2,-98.7116683759928,4.15150853560491,39.738669172919,0.0660057419226914,0,0
25,1.5,10,3,0.267240956576235,4.16138215475606,2.75907912725717,0.0521798324295453,1,0
25,1.5,10,4,4.25188692279968,4.18117139890598,2.39757307691279,0.0588903875238898,1,0
25,1.5,10,5,6.98149986285852,4.08212128575629,4.70969887635365,0.0882589592267585,1,1
25,1.5,10,6,-182.685676474462,3.68669739460247,194.930232273519,0.668463485905474,1,1
25,1.5,11,1,8.02235574723016,4.03467981087038,3.19707857141027,0.0631896719762218,1,1
25,1.5,11,2,11.4809924982231,4.02204580608633,2.78942690463135,0.0454844789255408,0,1
25,1.5,11,3,-3.0245609090518,4.04854292474174,5.31552105790242,0.0412110542691563,1,1
25,1.5,11,4,8.34969482576098,3.98745055090868,2.47056032557469,0.0570864562679162,1,1
25,1.5,11,5,4.21308435325104,4.03890247229299,0.679859466934473,0.050968080763403,1,1
25,1.5,11,6,15.2414033281322,4.03912116446715,12.6284336496255,0.0520630537664432,1,1
25,1.5,12,1,7.20002382330522,4.04435397596602,2.86220380145232,0.0616056867784911,1,1
25,1.5,12,2,0.149120265356079,4.01781715520601,2.93988690227546,0.0719318671884565,1,1
25,1.5,12,3,2.67748692545418,4.08011459277074,3.84086101749804,0.10267325522769,1,1
25,1.5,12,4,-4.03667768227665,4.50131388033488,19.2372529207852,0.197303014042233,1,0
25,1.5,12,5,2.43241328120024,4.01546977022318,2.5216662984568,0.0632114643228197,1,1
25,1.5,12,6,-20.3632006296344,4.04054671062802,25.8334653043749,0.0690624624153612,1,1
25,1.5,13,1,6.91436251814565,4.12484828688809,1.42874147770653,0.0610017855222662,0,0
25,1.5,13,2,6.61212288149907,4.07050514643152,1.74432521998728,0.055284124126078,1,1
25,1.5,13,3,6.15370411982426,4.16733170071837,2.37128595812163,0.0601572391682612,1,0
25,1.5,13,4,1.90403991283086,4.14026494676025,2.76133218049551,0.060644906222419,1,0
25,1.5,13,5,7.69820294251457,4.113687889149,4.21605079724602,0.0607294081684309,1,1
25,1.5,13,6,6.70349235643117,4.11534630765939,2.48190098693797,0.0608501158780373,1,1
