"N","sV","Data.Seed","SS.Seed","Eff_Est_IPS","Eff_Est_CPS_G","SE_Est_IPS","SE_Est_CPS_G","Cover_Est_IPS","Cover_Est_CPS_G"
50,0,1,1,3.95244845265178,4.07265603765938,0.109843028121118,0.069216152540067,1,1
50,0,1,2,4.01288383106884,4.05968554210813,0.117967763587852,0.063206893427449,1,1
50,0,1,3,4.01592380340407,4.08401109157679,0.0968335031062772,0.0688300090664559,1,1
50,0,1,4,4.28469465217293,4.08813389460264,0.109285131210862,0.0617164339168121,0,1
50,0,1,5,4.01064436770651,4.06106558190871,0.106766648691772,0.0687426431109465,1,1
50,0,1,6,4.14483071170673,4.1148731121806,0.12279395896133,0.0673816148841913,1,1
50,0,2,1,4.04005127470957,4.04194619797736,0.129522839642034,0.0618201204124166,1,1
50,0,2,2,3.75369485585646,4.02232408706723,0.216428228074761,0.0673933801405316,1,1
50,0,2,3,4.21449637837223,4.02578102471259,0.162145895311194,0.0604821011986889,1,1
50,0,2,4,4.01072223532168,4.00992610657481,0.113303866742248,0.056769534516891,1,1
50,0,2,5,3.96739219181847,3.98845135257706,0.126261518170462,0.0594898183861598,1,1
50,0,2,6,4.39383728862101,3.98028795183519,0.359039235529658,0.0635981153181076,1,1
50,0,3,1,4.0731829742801,4.13977316238394,0.114872219714456,0.0679379018284202,1,0
50,0,3,2,4.20986892737724,4.12505474383986,0.0993190810760998,0.0655482358260979,0,1
50,0,3,3,4.10986248715277,4.13244773203735,0.077315859046352,0.0656960157769187,1,0
50,0,3,4,4.17201055047522,4.15087805828947,0.106813821535679,0.0719843995547798,1,0
50,0,3,5,4.20125008536546,4.16049802040289,0.0970535196069334,0.0694109702127895,0,0
50,0,3,6,4.18269583685135,4.159347586439,0.100395019167803,0.066053196639627,1,0
50,0,4,1,3.55578713113383,4.0325592644988,0.136319488293142,0.057345375270241,0,1
50,0,4,2,3.78246097164758,4.039759998576,0.098237009322167,0.0559239104899076,0,1
50,0,4,3,3.95745394879061,4.07369232838467,0.123944882169104,0.0496467628326993,1,1
50,0,4,4,3.93644985404656,4.05505854322552,0.114301291433217,0.0523477401967444,1,1
50,0,4,5,3.5608243929332,4.03161800342268,0.190715356320481,0.0525481263838961,0,1
50,0,4,6,3.92339407404298,4.01163763062149,0.109769870068496,0.0493264927116812,1,1
50,0,5,1,5.353315990229,4.04484081644562,1.13605371707378,0.0645635827456943,1,1
50,0,5,2,4.15872483396442,4.04136810022657,0.120196810880069,0.0482508257996034,1,1
50,0,5,3,4.2431880625936,4.05730361146253,0.141145941881446,0.0521529788888225,1,1
50,0,5,4,4.00544814808112,4.05438086495419,0.173367900000325,0.0593770123116407,1,1
50,0,5,5,4.18285388158262,4.10403127955487,0.0862994310868344,0.0516933040643475,0,0
50,0,5,6,4.18153892798598,4.05948260061923,0.126096467302121,0.0579965479956534,1,1
50,0,6,1,3.91298444381203,3.94115432922846,0.123136857481325,0.0702651327588205,1,1
50,0,6,2,3.90775693879905,3.95292885648623,0.158479544612277,0.0718868604702832,1,1
50,0,6,3,3.97302640202704,3.98015237554367,0.0967957148017725,0.0696270502131982,1,1
50,0,6,4,3.88912266281639,3.90263034053582,0.103332147891021,0.0696748440022628,1,1
50,0,6,5,3.83727376745079,3.90937931418261,0.127366566638573,0.0668277020517967,1,1
50,0,6,6,3.85249720360887,3.93818224551517,0.0918146882571359,0.0689695819223018,1,1
50,0,7,1,6.18964748132261,3.87079246008563,1.72403141725696,0.102820318242646,1,1
50,0,7,2,4.08286205265844,4.01601589414406,0.137330646470672,0.0598336864902558,1,1
50,0,7,3,4.09594562428196,3.97956705305532,0.125525289261105,0.0516160777866157,1,1
50,0,7,4,4.13053570008173,4.03551792503365,0.149962307014978,0.0624209002451059,1,1
50,0,7,5,3.73958199949774,3.98151287745514,0.211662546786675,0.0537306763633402,1,1
50,0,7,6,3.93637009706468,3.98023398673199,0.116421395231773,0.0607393712824691,1,1
50,0,8,1,4.05141685990406,4.02091927692046,0.174641837705169,0.0658700278587549,1,1
50,0,8,2,3.90226591272109,4.02269391539832,0.164116755065471,0.0601545094601655,1,1
50,0,8,3,3.9099266253875,4.02954798424551,0.115776364797475,0.0650250284699281,1,1
50,0,8,4,4.21193065749591,4.01065294426744,0.354654754949984,0.0695047820544318,1,1
50,0,8,5,3.89026626284683,4.03090339839374,0.19996734454483,0.0640826487850735,1,1
50,0,8,6,3.93763268516278,4.02135130341552,0.111093569125516,0.0647946670342243,1,1
50,0,9,1,4.09524904257458,4.06309868305664,0.121176205982927,0.0678986204641593,1,1
50,0,9,2,3.97943277341574,4.05067824857246,0.132637806593139,0.0663234172877469,1,1
50,0,9,3,4.12516333122973,4.01212643893027,0.144554888833328,0.0654194787062262,1,1
50,0,9,4,4.01353904118002,4.02959979968263,0.118329495712477,0.0685111736838789,1,1
50,0,9,5,4.12061567511433,3.95593612396853,0.157910414079701,0.0663170285566594,1,1
50,0,9,6,6.94976856654058,4.03898568879199,2.41583705323596,0.0671310660636734,1,1
50,0,10,1,4.10209418799658,3.9875204376092,0.152353119001546,0.0645229923132193,1,1
50,0,10,2,4.1617320602286,4.01490799929628,0.114128971582092,0.0658859739586237,1,1
50,0,10,3,3.85255278342945,3.98116672924799,0.133560339383945,0.0587049036942125,1,1
50,0,10,4,4.03289548752953,3.98197391912502,0.111783020732543,0.0603274259045307,1,1
50,0,10,5,3.9855092557468,3.98763701608649,0.144115870000436,0.0647223177783753,1,1
50,0,10,6,4.01297439535364,3.98976076893158,0.102877719310171,0.0671282632002407,1,1
50,0,11,1,3.79196076457321,3.98870246698054,0.11299463552575,0.0509255937062563,1,1
50,0,11,2,3.82422457557176,3.97815094545191,0.101211023463578,0.0437165531606855,1,1
50,0,11,3,4.04782273108188,4.02107319557043,0.12037418291723,0.0457036187544773,1,1
50,0,11,4,3.91583151516559,3.97067775955709,0.111331122341967,0.0491073366837991,1,1
50,0,11,5,3.94212628666725,3.98543269459744,0.0859976520530171,0.0426821437304395,1,1
50,0,11,6,3.88828824780047,3.99610624880667,0.0946858060277456,0.0487464663554491,1,1
50,0,12,1,3.83743084608107,4.04929869322069,0.126242766988248,0.0621585247742742,1,1
50,0,12,2,3.85484084070384,4.0763545873721,0.15248288049122,0.0564586968651639,1,1
50,0,12,3,4.11435061726917,4.05985646933145,0.11056931563582,0.0585171723443464,1,1
50,0,12,4,4.0711548326623,4.08389191190618,0.176632591702127,0.0637067262103354,1,1
50,0,12,5,4.17526129403521,4.07284122342866,0.168307683660972,0.0638103046092472,1,1
50,0,12,6,4.04485951564862,4.03882426347613,0.137895291692264,0.064128669680054,1,1
50,0,13,1,4.14501431126231,4.11795712134908,0.116703685084684,0.0623270518650755,1,1
50,0,13,2,4.18904746522067,4.12797564853913,0.0780660965510544,0.0662463085816864,0,1
50,0,13,3,4.11880710563822,4.07034117975772,0.119186393884588,0.0626466385787397,1,1
50,0,13,4,4.08407555235313,4.11390282142164,0.0745472680164144,0.0605436146608685,1,1
50,0,13,5,4.03802476648208,4.11721170145789,0.08568349106151,0.0542017343759137,1,0
50,0,13,6,4.10037029720229,4.11640561187907,0.100769115780299,0.0577126256281676,1,0
50,0,14,1,3.97534808154373,3.88375334688953,0.0954861104250734,0.0522244243468947,1,0
50,0,14,2,3.94112905363895,3.903144401601,0.0926387842716617,0.0496677997641469,1,1
50,0,14,3,3.46564111183573,3.95374240849411,0.348805612089357,0.0561508862668882,1,1
50,0,14,4,3.84693414337995,3.91033839230676,0.811930732686977,0.0498814605767166,1,1
50,0,14,5,3.84573272895492,3.90180772979466,0.12733890065511,0.0503957965195721,1,1
50,0,14,6,3.95168832440026,3.87007715205765,0.10656625162672,0.0526014972852139,1,0
50,0,15,1,4.20019010916641,4.03237724413833,0.300674510549577,0.0631491126221881,1,1
50,0,15,2,4.14913341287287,4.05232270292995,0.0814388862923249,0.0587957402768439,1,1
50,0,15,3,4.18934686692009,4.08824604133926,0.111369870152067,0.0616898887859688,1,1
50,0,15,4,4.24336276019314,4.10135250436538,0.163230992786433,0.0662630288073432,1,1
50,0,15,5,4.03938940321108,4.07182470133086,0.0973042256042233,0.0621298906318323,1,1
50,0,15,6,4.03800329124555,4.06330524682209,0.113016652906482,0.065760615314755,1,1
50,0,16,1,3.91837137183536,3.9621445515799,0.160609882033041,0.0622178971404137,1,1
50,0,16,2,4.09357463620263,4.01044527664957,0.114758460777154,0.0686967018068668,1,1
50,0,16,3,3.98402307130692,4.01899690474608,0.122833764349102,0.0582809231636326,1,1
50,0,16,4,3.89042806940393,3.9978108463879,0.236683520413567,0.0616881689322316,1,1
50,0,16,5,4.16052295312289,4.03324350830828,0.116412438950046,0.0638144695549599,1,1
50,0,16,6,4.07081864618775,3.9891066158342,0.115939179993184,0.0616269034892013,1,1
50,0,17,1,4.23513929099727,3.92786398788172,0.170587434329915,0.0643639664346755,1,1
50,0,17,2,3.97301763118157,3.96377642808147,0.132126853144058,0.0664902012619884,1,1
50,0,17,3,3.9425309052868,3.89572028431603,0.135003632409001,0.0676397248164878,1,1
50,0,17,4,3.80046518223318,3.94706933905698,0.119630656754738,0.0675903922031039,1,1
50,0,17,5,3.93928432122329,3.89137076993505,0.1494671301896,0.0660061188065868,1,1
50,0,17,6,3.91650394013279,3.92248435425721,0.159309389851756,0.0667464414905186,1,1
50,0,18,1,3.91482762275224,3.9715480546808,0.119625695144856,0.0580277900721725,1,1
50,0,18,2,3.9808287953324,3.95715310329426,0.0832227351295596,0.0524289986197397,1,1
50,0,18,3,3.97885523478438,3.94435428680844,0.0955477740057857,0.0635750338541346,1,1
50,0,18,4,3.94004981273256,3.98413221795421,0.0754668359539866,0.0528776198921929,1,1
50,0,18,5,3.89708971367381,3.95398827880573,0.0953005502875581,0.0558221305086079,1,1
50,0,18,6,4.11946489656225,3.98467292677814,0.0853931296319732,0.050973863320945,1,1
50,0,19,1,4.0458663432193,4.07609526468786,0.133310728020079,0.058345671335446,1,1
50,0,19,2,3.97119630434319,4.08311439969095,0.115423616228633,0.0557260622331908,1,1
50,0,19,3,4.03119778968809,4.07932935108261,0.116058589758377,0.0608256989501342,1,1
50,0,19,4,3.9587346064365,4.06054744099913,0.139341787156812,0.0561972668532359,1,1
50,0,19,5,3.26906039090322,4.09356128476008,0.615220963351031,0.0649976094863388,1,1
50,0,19,6,3.97493171339671,4.06923705857292,0.139904377931745,0.0599535830987368,1,1
50,0,20,1,3.97006461182986,3.97577961075849,0.102781732342678,0.0620129468401976,1,1
50,0,20,2,4.14706610921641,4.01390008034824,0.104875062866464,0.0589023538762757,1,1
50,0,20,3,4.06296415887991,3.99872730590854,0.107774991876646,0.0613985651857955,1,1
50,0,20,4,4.02634108554398,4.00794215225094,0.0983628691123532,0.0605899299693373,1,1
50,0,20,5,3.97548126866136,4.01449592313854,0.098062189400044,0.0593054289647705,1,1
50,0,20,6,4.03245315600763,3.98629097394665,0.125847235670173,0.0576279557966478,1,1
50,0,21,1,3.87379529399586,3.99993783255396,0.109792433007276,0.0537890215594654,1,1
50,0,21,2,3.8377994542043,3.97591449110962,0.12373343021185,0.0644984894061356,1,1
50,0,21,3,3.70840597085603,3.94858056244488,0.119888746606238,0.0596523703514145,0,1
50,0,21,4,3.67548151952649,3.96216137648738,0.145259271363504,0.0619578639190834,0,1
50,0,21,5,3.9500239621333,3.99520946515974,0.103939980531133,0.0621331140686457,1,1
50,0,21,6,3.97477353486164,4.0049028174486,0.120807710616523,0.0564215056637325,1,1
50,0,22,1,4.07905891167551,4.06751293010217,0.107341218924846,0.0510025226757021,1,1
50,0,22,2,3.9731377474649,4.07625205502163,0.0898824181248537,0.0521095072228921,1,1
50,0,22,3,4.09866912931545,4.05392307776898,0.454578366345011,0.0536699813492492,1,1
50,0,22,4,4.14339192773089,4.09599053489925,0.0761400476265965,0.0490733542428403,1,1
50,0,22,5,4.06280643005531,4.0569655764222,0.100562761312905,0.0485955297583932,1,1
50,0,22,6,4.09488753172718,4.11697791800007,0.099858308251696,0.0515198625006097,1,0
50,0,23,1,4.06519238682776,4.01021975584107,0.0953829074861732,0.0620525589888777,1,1
50,0,23,2,4.0891662273853,3.99867487445722,0.122230632017562,0.0629127598402367,1,1
50,0,23,3,4.19099823845001,4.00439680791082,0.111944950336349,0.0619876647575214,1,1
50,0,23,4,3.95935951713226,4.0406370684862,0.104474290356355,0.066217110916721,1,1
50,0,23,5,3.99673633753979,4.07997881610201,0.123571021981308,0.0630058813498496,1,1
50,0,23,6,4.12219659428121,3.99858668949401,0.126410518853477,0.0661043782989426,1,1
50,0,24,1,3.82411130414017,4.01171896689444,0.131829606658327,0.0646395164489077,1,1
50,0,24,2,3.88414126110075,3.97762387137048,0.105602983584612,0.0639636877899195,1,1
50,0,24,3,3.30056628571935,3.92313907807027,0.247051121515163,0.0668274055065784,0,1
50,0,24,4,3.86467561999907,4.01097560699103,0.134342275015466,0.0662335736088178,1,1
50,0,24,5,3.87703102774178,3.97978527710468,0.103585499801585,0.0685397685805858,1,1
50,0,24,6,4.00375142157081,4.01525056819198,0.11706733573163,0.0694367358832428,1,1
50,0,25,1,4.0519768445412,3.95389680258138,0.132414352038781,0.064968624205535,1,1
50,0,25,2,4.053298589042,3.9105289790066,0.134925816189066,0.0627208912294068,1,1
50,0,25,3,4.20675006862345,3.92642582454472,0.122143073465184,0.0666835559124634,1,1
50,0,25,4,4.07247854665209,3.95016444101676,0.0996053324336641,0.062371799590676,1,1
50,0,25,5,4.1632809104549,3.89076900323211,0.117104248388366,0.0701535356757429,1,1
50,0,25,6,4.00456822257214,3.94784055093772,0.120995360289238,0.0675783291691799,1,1
50,0,26,1,4.09553593637538,4.06324554188727,0.12734032211309,0.0571618734776756,1,1
50,0,26,2,4.03048056810243,4.06104311952743,0.14118329667964,0.0640078823707689,1,1
50,0,26,3,3.96758424137135,4.03436043267132,0.129160783559848,0.0583267756701654,1,1
50,0,26,4,4.05434068672735,4.06131247994763,0.128930085256673,0.0542839741611441,1,1
50,0,26,5,4.05905658118634,4.08424235373989,0.152152489611831,0.0617237597215769,1,1
50,0,26,6,3.91713788561238,4.03134682713832,0.107876151768485,0.0528999531581332,1,1
50,0,27,1,4.17695604164118,4.12157879606078,0.145993015264435,0.0652789456784188,1,1
50,0,27,2,4.03628155134509,4.074702213176,0.149476704010915,0.0607015613193753,1,1
50,0,27,3,4.43233891445142,4.13012799872814,0.213030426009102,0.0708494197643478,0,1
50,0,27,4,3.94022955081784,4.12036859834737,0.222428246485376,0.0664318748650596,1,1
50,0,27,5,3.97455532939301,4.10748235169833,0.154686337093025,0.0635399545354501,1,1
50,0,27,6,4.10004624767975,4.09583368721029,0.118411785621987,0.0591309407294497,1,1
50,0,28,1,4.21367111336376,4.01571793410149,0.115135509058089,0.0713166480661141,1,1
50,0,28,2,4.26039372139598,4.09573037465095,0.146030590702754,0.0642326923479635,1,1
50,0,28,3,4.12056891474959,4.05171790056318,0.111950614352847,0.072393762364696,1,1
50,0,28,4,4.56314966981582,4.08842598998775,0.163504708518028,0.0663487113655499,0,1
50,0,28,5,4.33414562468055,4.07235253731592,0.183719196693128,0.0639102088909064,1,1
50,0,28,6,3.85439070225136,4.08711669396362,0.290294834700834,0.0634418343136373,1,1
50,0,29,1,4.12358293739119,4.07150285638972,0.117962487694784,0.0547590768267136,1,1
50,0,29,2,4.10606643909374,4.02286338683468,0.104302140404126,0.0506621904524241,1,1
50,0,29,3,4.15570697427827,4.00651152123089,0.112881325106967,0.0499002107227488,1,1
50,0,29,4,4.12982662537104,4.04915749171009,0.217480225247713,0.055223640429958,1,1
50,0,29,5,4.1137736900687,4.01392643349282,0.0931330937487578,0.0488840612601568,1,1
50,0,29,6,4.06012479192994,4.03634595054378,0.122880858980994,0.0583447049851369,1,1
50,0,30,1,3.93317926975554,3.95044066610325,0.0834901021638859,0.0535485569341438,1,1
50,0,30,2,3.9487453388345,3.94967073702872,0.106145947946626,0.0548761748124464,1,1
50,0,30,3,3.75731537302775,3.9199991652738,0.12398866823236,0.0545518407266583,1,1
50,0,30,4,3.91125499427252,3.91686515317707,0.119563835432057,0.0603438599988425,1,1
50,0,30,5,3.88610164799824,3.9025516507378,0.126995279009328,0.0521560028224766,1,1
50,0,30,6,3.84595848206491,3.89486592172778,0.101792917401977,0.0523969925954123,1,0
50,0,31,1,3.97697153799758,3.94172340942704,0.0776993973069223,0.0510502667637945,1,1
50,0,31,2,4.02527485613242,3.95200541276191,0.111266718565186,0.056521279353417,1,1
50,0,31,3,3.90199635716779,3.9726101886196,0.115871250793959,0.0501883847534948,1,1
